epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
13,2020-03-26,15,PE,,26,state,48,0.50225,2,3,2,0.0625,9557071,False,False
13,2020-03-25,14,PE,,26,state,46,0.48132,4,1,1,0.0217,9557071,False,False
13,2020-03-24,13,PE,,26,state,42,0.43947,0,0,0,0.0,9557071,False,False
13,2020-03-23,12,PE,,26,state,42,0.43947,5,0,0,0.0,9557071,False,False
13,2020-03-22,11,PE,,26,state,37,0.38715,4,0,0,0.0,9557071,False,False
12,2020-03-21,10,PE,,26,state,33,0.34529,2,0,0,0.0,9557071,False,False
12,2020-03-20,9,PE,,26,state,31,0.32437,3,0,0,0.0,9557071,False,False
12,2020-03-19,8,PE,,26,state,28,0.29298,9,0,0,0.0,9557071,False,False
12,2020-03-18,7,PE,,26,state,19,0.19881,1,0,0,0.0,9557071,False,False
12,2020-03-17,6,PE,,26,state,18,0.18834,10,0,0,0.0,9557071,False,False
12,2020-03-16,5,PE,,26,state,8,0.08371,0,0,0,0.0,9557071,False,False
12,2020-03-15,4,PE,,26,state,8,0.08371,1,0,0,0.0,9557071,False,False
11,2020-03-14,3,PE,,26,state,7,0.07324,5,0,0,0.0,9557071,False,False
11,2020-03-13,2,PE,,26,state,2,0.02093,0,0,0,0.0,9557071,False,False
11,2020-03-12,1,PE,,26,state,2,0.02093,2,0,0,0.0,9557071,False,False
