epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
18,2020-04-28,54,BA,,29,state,2564,17.23922,208,93,10,0.0363,14873064,False,False
18,2020-04-28,44,CE,,23,state,6985,76.48862,202,417,20,0.0597,9132078,False,False
18,2020-04-28,53,DF,,53,state,1230,40.79239,41,28,0,0.0228,3015268,False,False
18,2020-04-28,55,ES,,32,state,2164,53.84893,220,77,14,0.0356,4018650,False,False
18,2020-04-28,48,GO,,52,state,661,9.41816,45,27,1,0.0408,7018354,False,False
18,2020-04-28,40,MA,,21,state,2804,39.63149,276,166,21,0.0592,7075181,False,False
18,2020-04-28,52,MG,,31,state,1649,7.78977,63,71,9,0.0431,21168791,False,False
18,2020-04-28,46,MS,,50,state,240,8.63624,2,9,0,0.0375,2778986,False,False
18,2020-04-28,40,MT,,51,state,263,7.54778,7,11,1,0.0418,3484466,False,False
18,2020-04-28,42,PA,,15,state,2319,26.95614,100,132,10,0.0569,8602865,False,False
18,2020-04-28,48,PB,,25,state,698,17.37128,65,57,4,0.0817,4018127,False,False
18,2020-04-28,48,PE,,26,state,5724,59.89283,366,508,58,0.0887,9557071,False,False
18,2020-04-28,41,PI,,22,state,454,13.8701,46,24,3,0.0529,3273227,False,False
18,2020-04-28,48,PR,,41,state,1286,11.2472,85,79,2,0.0614,11433957,False,False
18,2020-04-28,55,RJ,,33,state,8504,49.25588,560,738,61,0.0868,17264943,False,False
18,2020-04-28,48,RN,,24,state,1086,30.96794,229,54,6,0.0497,3506853,False,False
18,2020-04-28,40,RO,,11,state,413,23.23848,20,11,1,0.0266,1777225,False,False
18,2020-04-28,39,RR,,14,state,425,70.15968,0,4,0,0.0094,605761,False,True
18,2020-04-28,50,RS,,43,state,1350,11.8658,94,49,4,0.0363,11377239,False,False
18,2020-04-28,48,SC,,42,state,1995,27.84451,519,44,0,0.0221,7164788,False,False
18,2020-04-28,46,SE,,28,state,280,12.18082,69,11,0,0.0393,2298696,False,False
18,2020-04-28,64,SP,,35,state,24041,52.35518,2345,2049,224,0.0852,45919049,False,False
18,2020-04-28,42,TO,,17,state,116,7.37507,37,2,0,0.0172,1572866,False,False
18,2020-04-27,42,AC,,12,state,301,34.1295,22,14,3,0.0465,881935,False,False
18,2020-04-27,51,AL,,27,state,643,19.26674,83,34,2,0.0529,3337357,False,False
18,2020-04-27,46,AM,,13,state,3928,94.77399,95,320,16,0.0815,4144597,False,False
18,2020-04-27,39,AP,,16,state,842,99.55884,21,26,3,0.0309,845731,False,False
18,2020-04-27,53,BA,,29,state,2356,15.84072,108,83,9,0.0352,14873064,False,False
18,2020-04-27,43,CE,,23,state,6783,74.27663,523,397,21,0.0585,9132078,False,False
18,2020-04-27,52,DF,,53,state,1189,39.43265,64,28,1,0.0235,3015268,False,False
18,2020-04-27,54,ES,,32,state,1944,48.37445,125,63,6,0.0324,4018650,False,False
18,2020-04-27,47,GO,,52,state,616,8.77699,43,26,1,0.0422,7018354,False,False
18,2020-04-27,39,MA,,21,state,2528,35.73053,118,145,20,0.0574,7075181,False,False
18,2020-04-27,51,MG,,31,state,1586,7.49216,38,62,1,0.0391,21168791,False,False
18,2020-04-27,45,MS,,50,state,238,8.56427,4,9,2,0.0378,2778986,False,False
18,2020-04-27,39,MT,,51,state,256,7.34689,7,10,1,0.0391,3484466,False,False
18,2020-04-27,41,PA,,15,state,2219,25.79373,149,122,8,0.055,8602865,False,False
18,2020-04-27,47,PB,,25,state,633,15.75361,90,53,3,0.0837,4018127,False,False
18,2020-04-27,47,PE,,26,state,5358,56.0632,460,450,35,0.084,9557071,False,False
18,2020-04-27,40,PI,,22,state,408,12.46476,44,21,1,0.0515,3273227,False,False
18,2020-04-27,47,PR,,41,state,1201,10.5038,30,77,2,0.0641,11433957,False,False
18,2020-04-27,54,RJ,,33,state,7944,46.01232,833,677,32,0.0852,17264943,False,False
18,2020-04-27,47,RN,,24,state,857,24.43786,25,48,3,0.056,3506853,False,False
18,2020-04-27,39,RO,,11,state,393,22.11313,29,10,0,0.0254,1777225,False,False
18,2020-04-27,38,RR,,14,state,425,70.15968,18,4,0,0.0094,605761,False,False
18,2020-04-27,49,RS,,43,state,1256,11.03959,48,45,7,0.0358,11377239,False,False
18,2020-04-27,47,SC,,42,state,1476,20.60075,139,44,1,0.0298,7164788,False,False
18,2020-04-27,45,SE,,28,state,211,9.17912,36,11,2,0.0521,2298696,False,False
18,2020-04-27,63,SP,,35,state,21696,47.24837,981,1825,125,0.0841,45919049,False,False
18,2020-04-27,41,TO,,17,state,79,5.02268,12,2,0,0.0253,1572866,False,False
18,2020-04-26,41,AC,,12,state,279,31.63498,21,11,0,0.0394,881935,False,False
18,2020-04-26,50,AL,,27,state,560,16.77975,59,32,3,0.0571,3337357,False,False
18,2020-04-26,45,AM,,13,state,3833,92.48185,198,304,17,0.0793,4144597,False,False
18,2020-04-26,38,AP,,16,state,821,97.07578,132,23,3,0.028,845731,False,False
18,2020-04-26,52,BA,,29,state,2248,15.11457,132,74,2,0.0329,14873064,False,False
18,2020-04-26,42,CE,,23,state,6260,68.54957,593,376,50,0.0601,9132078,False,False
18,2020-04-26,51,DF,,53,state,1125,37.31012,105,27,0,0.024,3015268,False,False
18,2020-04-26,53,ES,,32,state,1819,45.26396,108,57,5,0.0313,4018650,False,False
18,2020-04-26,46,GO,,52,state,573,8.16431,67,25,0,0.0436,7018354,False,False
18,2020-04-26,38,MA,,21,state,2410,34.06273,187,125,13,0.0519,7075181,False,False
18,2020-04-26,50,MG,,31,state,1548,7.31265,67,61,3,0.0394,21168791,False,False
18,2020-04-26,44,MS,,50,state,234,8.42034,17,7,0,0.0299,2778986,False,False
18,2020-04-26,38,MT,,51,state,249,7.146,3,9,0,0.0361,3484466,False,False
18,2020-04-26,40,PA,,15,state,2070,24.06175,325,114,19,0.0551,8602865,False,False
18,2020-04-26,46,PB,,25,state,543,13.51376,44,50,1,0.0921,4018127,False,False
18,2020-04-26,46,PE,,26,state,4898,51.25001,391,415,34,0.0847,9557071,False,False
18,2020-04-26,39,PI,,22,state,364,11.12052,33,20,2,0.0549,3273227,False,False
18,2020-04-26,46,PR,,41,state,1171,10.24142,16,75,4,0.064,11433957,False,False
18,2020-04-26,53,RJ,,33,state,7111,41.18751,283,645,30,0.0907,17264943,False,False
18,2020-04-26,46,RN,,24,state,832,23.72498,7,45,1,0.0541,3506853,False,False
18,2020-04-26,38,RO,,11,state,364,20.48137,36,10,3,0.0275,1777225,False,False
18,2020-04-26,37,RR,,14,state,407,67.18821,6,4,0,0.0098,605761,False,False
18,2020-04-26,48,RS,,43,state,1208,10.61769,42,38,3,0.0315,11377239,False,False
18,2020-04-26,46,SC,,42,state,1337,18.66071,102,43,1,0.0322,7164788,False,False
18,2020-04-26,44,SE,,28,state,175,7.61301,21,9,0,0.0514,2298696,False,False
18,2020-04-26,62,SP,,35,state,20715,45.112,711,1700,33,0.0821,45919049,False,False
18,2020-04-26,40,TO,,17,state,67,4.25974,9,2,0,0.0299,1572866,False,False
17,2020-04-25,40,AC,,12,state,258,29.25386,24,11,0,0.0426,881935,False,False
17,2020-04-25,49,AL,,27,state,501,15.01188,88,29,2,0.0579,3337357,False,False
17,2020-04-25,44,AM,,13,state,3635,87.70455,441,287,32,0.079,4144597,False,False
17,2020-04-25,37,AP,,16,state,689,81.46798,41,20,2,0.029,845731,False,False
17,2020-04-25,51,BA,,29,state,2116,14.22706,137,72,5,0.034,14873064,False,False
17,2020-04-25,41,CE,,23,state,5667,62.05597,546,326,33,0.0575,9132078,False,False
17,2020-04-25,50,DF,,53,state,1020,33.82784,8,27,1,0.0265,3015268,False,False
17,2020-04-25,52,ES,,32,state,1711,42.57649,46,52,5,0.0304,4018650,False,False
17,2020-04-25,45,GO,,52,state,506,7.20967,20,25,1,0.0494,7018354,False,False
17,2020-04-25,37,MA,,21,state,2223,31.41969,118,112,12,0.0504,7075181,False,False
17,2020-04-25,49,MG,,31,state,1481,6.99615,62,58,4,0.0392,21168791,False,False
17,2020-04-25,43,MS,,50,state,217,7.8086,4,7,0,0.0323,2778986,False,False
17,2020-04-25,37,MT,,51,state,246,7.05991,5,9,1,0.0366,3484466,False,False
17,2020-04-25,39,PA,,15,state,1745,20.28394,166,95,9,0.0544,8602865,False,False
17,2020-04-25,45,PB,,25,state,499,12.41872,52,49,3,0.0982,4018127,False,False
17,2020-04-25,45,PE,,26,state,4507,47.1588,508,381,29,0.0845,9557071,False,False
17,2020-04-25,38,PI,,22,state,331,10.11234,34,18,1,0.0544,3273227,False,False
17,2020-04-25,45,PR,,41,state,1155,10.10149,22,71,4,0.0615,11433957,False,False
17,2020-04-25,52,RJ,,33,state,6828,39.54835,546,615,45,0.0901,17264943,False,False
17,2020-04-25,45,RN,,24,state,825,23.52537,44,44,4,0.0533,3506853,False,False
17,2020-04-25,37,RO,,11,state,328,18.45574,38,7,1,0.0213,1777225,False,False
17,2020-04-25,36,RR,,14,state,401,66.19772,56,4,1,0.01,605761,False,False
17,2020-04-25,47,RS,,43,state,1166,10.24853,70,35,1,0.03,11377239,False,False
17,2020-04-25,45,SC,,42,state,1235,17.23708,26,42,0,0.034,7164788,False,False
17,2020-04-25,43,SE,,28,state,154,6.69945,9,9,1,0.0584,2298696,False,False
17,2020-04-25,61,SP,,35,state,20004,43.56362,2178,1667,155,0.0833,45919049,False,False
17,2020-04-25,39,TO,,17,state,58,3.68754,8,2,0,0.0345,1572866,False,False
17,2020-04-24,39,AC,,12,state,234,26.53257,7,11,1,0.047,881935,False,False
17,2020-04-24,48,AL,,27,state,413,12.37506,89,27,5,0.0654,3337357,False,False
17,2020-04-24,43,AM,,13,state,3194,77.06419,306,255,21,0.0798,4144597,False,False
17,2020-04-24,36,AP,,16,state,648,76.62011,93,18,2,0.0278,845731,False,False
17,2020-04-24,50,BA,,29,state,1979,13.30593,134,67,5,0.0339,14873064,False,False
